,Listing phrase,Category level 1,Category level 2,Type of NPS,Type of NPS new,Other name 1,Other name 2,Other name 3,Other name 4,Chemical name,Listing phrase length,listing phrase
736,25I-NBMD,25I-NBMD,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"N-(1,3-benzodioxol-4-ylmethyl)-2-(4-iodo-2,5-dimethoxy-phenyl) ethanamine ",,25i-nbmd
737,25I-NBOH,25I-NBOH,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,2CI-NBOH,,,,"2-[[2-(4-iodo-2,5-dimethoxy-phenyl)ethylamino]methyl]phenol",,25i-nboh
741,25I-NBOMe,25I-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25i-nbome
744,25N-NBOMe,25n-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25n-nbome
745,25P-NBOMe,25p-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25p-nbome
746,25T-NBOMe,25T-NBOMe,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"{2-[2,5-dimethoxy-4-(methylsulfanyl)phenyl]ethyl}[(2-methoxyphenyl)methyl]amine",,25t-nbome
721,25c,25C-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25c
740,25i,25I-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25i
743,25iP-NBOMe,25iP-NBOMe,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"2-[2,5-dimethoxy-4-(propan-2-yl)phenyl]-N-(2-methoxybenzyl) ethanamine ",,25ip-nbome
1932,25x-NBOMe,NBOMe not specified,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25x-nbome
755,2C-,2C not specified,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,2c-
760,2C-B,2C-B,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,2c-b
761,2C-B-BZP,2C-B-BZP,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"1-(4-bromo-2,5-dimethoxybenzyl)piperazine",,2c-b-bzp
762,2C-B-Fly,2C-B-Fly,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"8-bromo-2,3,6,7-benzo-dihydro-difuran-ethylamine",,2c-b-fly
763,2C-C,2C-C,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"1-(4-Chloro-2,5-dimethoxyphenyl)-2-aminoethane",,2c-c
765,2C-C-NBOMe,2C-C-NBOMe,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,25C-NBOMe,,,,"2-(4-chloro-2,5-dimethoxyphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine",,2c-c-nbome
766,2C-D,2C-D,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"1-(2,5-Dimethoxy-4-methylphenyl)-2-aminoethane",,2c-d
768,2C-E,2C-E,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"1-(2,5-Dimethoxy-4-ethylphenyl)-2-aminoethane",,2c-e
770,2C-F,2C-F,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"2-(4-fluoro-2,5-dimethoxyphenyl)ethan-1-amine",,2c-f
771,2C-G,2C-G,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"(1-(2,5-dimethoxy-3,4-dimethylphenyl)propan-2- amine",,2c-g
772,2C-H,2C-H,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2c-h
775,2C-I,2C-I,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2c-i
778,2C-N,2C-N,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"2,5-dimethoxy-4-nitrophenethylamine",,2c-n
779,2C-O-4,2C-O-4,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2c-o-4
781,2C-P,2C-P,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"2,5-dimethoxy-4-(n)-propylphenethylamine",,2c-p
782,2C-P-NBOMe,2C-P-NBOMe,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"[2-(2,5-dimethoxy-4-propylphenyl)ethyl][(2-methoxyphenyl)methyl]amine",,2c-p-nbome
783,2C-SE,2C-SE,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2c-se
784,2C-T,2C-T,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2c-t
785,2C-T-2,2C-T-2,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2c-t-2
786,2C-T-2-NBOMe,2C-T-2-NBOMe,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"{2-[4-(ethylsulfanyl)-2,5-dimethoxyphenyl]ethyl}[(2-methoxyphenyl)methyl]amine",,2c-t-2-nbome
787,2C-T-4,2C-T-4,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"2,5-dimethoxy-4-isopropylthiophenethylamine",,2c-t-4
788,2C-T-4-NBOMe,2C-T-4-NBOMe,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"{2-[2,5-dimethoxy-4-(propan-2-ylsulfanyl)phenyl]ethyl}[(2-methoxyphenyl)methyl]amine",,2c-t-4-nbome
790,2C-T-7,2C-T-7,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2c-t-7
791,2C-T-7-NBOMe,2C-T-7-NBOMe,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"{2-[2,5-dimethoxy-4-(propylsulfanyl)phenyl]ethyl}[(2-methoxyphenyl)methyl]amine",,2c-t-7-nbome
792,2C-T-8,2C-T-8,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2c-t-8
793,2C-TFM,2C-TFM,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"2-[2,5-dimethoxy-4-(trifluoromethyl)phenyl]ethanamine",,2c-tfm
794,2C-V,2C-V,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2c-v
795,2C-YN,2C-YN,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2c-yn
776,2C-iP,2C-iP,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"2-[2,5-dimethoxy-4-(propan-2-yl)phenyl]ethan-1-amine",,2c-ip
757,2C-x,2C not specified,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2c-x
759,2CB,2C-B,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,2cb
767,2CE,2c-e,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2ce
780,2CP,2C-P,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2cp
789,2CT7,2C-T-7,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2ct7
777,"2Cl-N,N-Dimethylcathinone","2Cl-N,N-Dimethylcathinone",NPS,Cathinones,Stimulant,"4-ethyl-N,N-DMC",,,,1-(2-chlorophenyl)-2-(dimethylamino)propan-1-one,,"2cl-n,n-dimethylcathinone"
800,2F-AMB,2F-AMB,NPS,Cannabinoids,Cannabinoid,AMB-FUBINACA,,,,methyl (2S)‐2‐{[1‐(2‐fluoropentyl)‐1H‐indazol‐3‐yl]formamido}‐3‐methylbutanoate,,2f-amb
801,2F-BF,2F-BF,NPS,,Sedative - opioid,2-Fluorobutyrfentanyl,,,,N-(2-fluorophenyl)-N-(1-phenethylpiperidin-4-yl)butyramide,,2f-bf
804,2F-Ketamine,2f-ketamine,NPS,,Hallucinogen/dissociative/psychedelic,2-Fluoroketamine,,,,,,2f-ketamine
814,2F-MT-45,2F-MT-45,NPS,Opioids,Sedative - opioid,,,,,1‐cyclohexyl‐4‐[1‐(2‐fluorophenyl)‐2‐phenylethyl]piperazine,,2f-mt-45
815,2F-NNEI,2F-NNEI,NPS,Cannabinoids,Cannabinoid,,,,,1-(2-fluoropentyl)-N-(naphthalen-1-yl)-1H-indole-3-carboxamide,,2f-nnei
816,2F-phenmetrazine,2F-phenmetrazine,NPS,,Stimulant,,,,,2F-phenmetrazine,,2f-phenmetrazine
811,2FMA,2-fma,NPS,,Stimulant,,,,,,,2fma
838,2NMC,2NMC,NPS,,Stimulant,,,,,,,2nmc
774,2ci,2C-I,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,2ci
848,"3,4 CTMP","3,4-ctmp",NPS,,Stimulant,,,,,,,"3,4 ctmp"
850,"3,4-CTMP","3,4-ctmp",NPS,,Stimulant,,,,,,,"3,4-ctmp"
851,"3,4-DCCHMMC","3,4-DCCHMMC",NPS,,,,,,,"3,4-dichloro-N, N-cyclohexylmethylmethcathinone",,"3,4-dcchmmc"
852,"3,4-DCEC","3,4-DCEC",NPS,,Stimulant,"3,4-dichloroethcathinone",,,,"1-(3,4-dichlorophenyl)-2-(ethylamino)propan-1- one",,"3,4-dcec"
860,"3,4-DMA","3,4-DMA",NPS,,Hallucinogen/dissociative/psychedelic,,,,,"3,4-Dimethoxyamphetamine",,"3,4-dma"
861,"3,4-DMA NBOMe","3,4-DMA NBOMe",NPS,,Hallucinogen/dissociative/psychedelic,,,,,"1-(3,4-dimethoxyphenyl)-N-[(2-methoxyphenyl)methyl]propan-2-amine",,"3,4-dma nbome"
862,"3,4-DMAR","3,4-DMAR",NPS,,Stimulant,,,,,"3,4-dimethyl-5-phenyl-1,3-oxazolidin-2-imine",,"3,4-dmar"
863,"3,4-DMEC","3,4-DMEC",NPS,,Stimulant,"3,4-dimethylethcathinone ",,,,"1-(3,4-dimethylphenyl)-2-(ethylamino)propan-1-one)",,"3,4-dmec"
857,"3,4-DMMC","3,4-dimethylmethcathinone",NPS,,Stimulant,,,,,,,"3,4-dmmc"
864,"3,4-DMeO-alpha-PHP","3,4-DMeO-alpha-PHP",NPS,Cathinones,Stimulant,"3,4-dimethoxy-alpha-PHP",,,,"1-(3,4-dimethoxyphenyl)-2-(pyrrolidin-1-yl)hexan-1-one",,"3,4-dmeo-alpha-php"
865,"3,4-DMeO-alpha-PVP","3,4-DMeO-alpha-PVP",NPS,,Stimulant,,,,,"1-(3,4-dimethoxyphenyl)-2-(pyrrolidin-1-yl)pentan-1-one",,"3,4-dmeo-alpha-pvp"
866,"3,4-DMeOMC","3,4-DMeOMC",NPS,,Stimulant,,,,,"3,4-dimethoxymethcathinone",,"3,4-dmeomc"
855,"3,4-DiMeO-alpha-PVP","3,4-DiMeO-alpha-PVP",NPS,,Stimulant,,,,,"3,4-dimethoxy-alpha-pyrrolidinovalerophenone",,"3,4-dimeo-alpha-pvp"
854,"3,4-Dichloro-N,N-cyclohexylmethylmethcathinone","3,4-Dichloro-N,N-cyclohexylmethylmethcathinone",NPS,,Stimulant,,,,,"2-[cyclohexyl(methyl)amino]-1- (3,4-dichlorophenyl)propan-1-one",,"3,4-dichloro-n,n-cyclohexylmethylmethcathinone"
853,"3,4-Dichloromethylphenidate","3,4-dichloromethylphenidate",NPS,,Stimulant,,,,,,,"3,4-dichloromethylphenidate"
867,"3,4-EDMA","3,4-EDMA",NPS,Phenethylamines,Empathogens-Entactogens,,,,,"[1-(2,3-dihydro-1,4-benzodioxin-6-yl)propan-2-yl](methyl)amine",,"3,4-edma"
868,"3,4-EDMC","3,4-EDMC",NPS,,Stimulant,,,,,"3,4-Ethylenedioxymethcathinone",,"3,4-edmc"
869,"3,4-Ethylenedioxy U-47700","3,4-Ethylenedioxy U-47700",NPS,Opioids,Sedative - opioid,,,,,"N‐[2‐(dimethylamino)cyclohexyl]‐N‐methyl‐2,3‐dihydro‐1,4‐benzodioxine‐6‐carboxamide",,"3,4-ethylenedioxy u-47700"
870,"3,4-Ethylenedioxy U-51754","3,4-Ethylenedioxy U-51754",NPS,Opioids,Sedative - opioid,,,,,"2‐(2,3‐dihydro‐1,4‐benzodioxin‐6‐yl)‐N‐[2‐(dimethylamino)cyclohexyl]‐N‐methylacetamide",,"3,4-ethylenedioxy u-51754"
871,"3,4-HHMA","3,4-HHMA",NPS,Phenethylamines,,,,,,"4-[2-(methylamino)propyl]benzene-1,2-diol",,"3,4-hhma"
872,"3,4-MDO-U-47700","3,4-MDO-U-47700",NPS,Opioids,Sedative - opioid,,,,,"N‐[2‐(dimethylamino)cyclohexyl]‐N‐methyl‐2H‐1,3‐benzodioxole‐5‐carboxamide",,"3,4-mdo-u-47700"
873,"3,4-MDPA","3,4-MDPA",NPS,,Hallucinogen/dissociative/psychedelic,MDPR,,,,"alpha-methyl-N-propyl-1,3-benzodioxole-5-ethanamine",,"3,4-mdpa"
874,"3,4-MDPV","3,4-MDPV",NPS,Cathinones,Stimulant,,,,,"(RS)-1-(Benzo[d][1,3]dioxol-5-yl)-2-(pyrrolidin-1-yl)pentan-1-one",,"3,4-mdpv"
858,"3,4-MMC","3,4-dimethylmethcathinone",NPS,,Stimulant,,,,,,,"3,4-mmc"
875,"3,4-Methylenedioxy-PV9","3,4-Methylenedioxy-PV9",NPS,Cathinones,Stimulant,,,,,"1-(2H-1,3-benzodioxol-5-yl)-2-(pyrrolidin-1-yl)octan-1-one",,"3,4-methylenedioxy-pv9"
877,"3,4-Trimethylene-alpha-PVP","3,4-Trimethylene-alpha-PVP",NPS,Cathinones,Stimulant,,,,,"1-(2,3-dihydro-1H-inden-5-yl)-2-(pyrrolidin-1-yl)pentan-1-one",,"3,4-trimethylene-alpha-pvp"
878,"3,4-Trimethylenepentedrone","3,4-Trimethylenepentedrone",NPS,Cathinones,Stimulant,,,,,"1-(2,3-dihydro-1H-inden-5-yl)-2-(methylamino)pentan-1-one",,"3,4-trimethylenepentedrone"
859,"3,4-dimethyl-NEB","3,4-dimethyl-NEB",NPS,,Stimulant,,,,,"3,4-dimethyl-N-ethylbuphedrone",,"3,4-dimethyl-neb"
856,"3,4-dimethyl-alpha-PVP","3,4-dimethyl-alpha-PVP",NPS,,Stimulant,,,,,"3,4-dimethyl-alpha-PVP",,"3,4-dimethyl-alpha-pvp"
876,"3,4-methylenedioxy-U-47700","3,4-methylenedioxy-U-47700",NPS,,Sedative - opioid,,,,,"3,4-methylenedioxy-U-47700",,"3,4-methylenedioxy-u-47700"
849,"3,4CTMP","3,4-ctmp",NPS,,Stimulant,,,,,,,"3,4ctmp"
879,"3,6-DMPM","3,6-DMPM",NPS,Others,Stimulant,,,,,"3,6-dimethyl-2-phenyl-morpholine",,"3,6-dmpm"
843,3-(4-Hydroxymethylbenzoyl)-1-pentylindole,3-(4-Hydroxymethylbenzoyl)-1-pentylindole,NPS,,Cannabinoid,,,,,3-(4-Hydroxymethylbenzoyl)-1-pentylindole,,3-(4-hydroxymethylbenzoyl)-1-pentylindole
844,"3-(5-Benzyl-1,3,4-oxadiazol-2-yl)-1-(2-morpholin-4-ylethyl)-1H-indole","3-(5-Benzyl-1,3,4-oxadiazol-2-yl)-1-(2-morpholin-4-ylethyl)-1H-indole",NPS,,Cannabinoid,,,,,"3-(5-Benzyl-1,3,4-oxadiazol-2-yl)-1-(2-morpholin-4-ylethyl)-1H-indole",,"3-(5-benzyl-1,3,4-oxadiazol-2-yl)-1-(2-morpholin-4-ylethyl)-1h-indole"
845,"3-(5-Benzyl-1,3,4-oxadiazol-2-yl)-1-(2-pyrrolidin-1-ylethyl)-1H-indole ","3-(5-Benzyl-1,3,4-oxadiazol-2-yl)-1-(2-pyrrolidin-1-ylethyl)-1H-indole ",NPS,,Cannabinoid,"3-(5-Benzyl-1,3,4-oxadiazol-2-yl)-1-(2-pyrrolidin-1-ylethyl)-1H-indole ",,,,"N-(2-Hydroxy-1R-methylethyl)-5Z,8Z,11Z,14Z-eicosatetraenamide",,"3-(5-benzyl-1,3,4-oxadiazol-2-yl)-1-(2-pyrrolidin-1-ylethyl)-1h-indole"
847,3-(p-Methoxybenzoyl)-N-methylindole,3-(p-Methoxybenzoyl)-N-methylindole,NPS,,,,,,,1-(5-fluoropentyl)-N-(napthalen-2-yl)-1H-indole3-carboxamide,,3-(p-methoxybenzoyl)-n-methylindole
846,3-(p-methoxybenzoyl)indole,3-(p-methoxybenzoyl)indole,NPS,NPS-related (building blocks),,,,,,3-(4-methoxybenzoyl)-1H-indole,,3-(p-methoxybenzoyl)indole
883,3-APB,3-APB,NPS,,Stimulant,,,,,1-Methyl-3-phenylpropylamine,,3-apb
884,3-BMC,3-BMC,NPS,Cathinones,Stimulant,3-bromomethcathinone,,,,1-(3-bromophenyl)-2-(methylamino)propan-1-one,,3-bmc
885,3-Bromoamphetamine,3-Bromoamphetamine,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,4-BA,,,,3-bromo-alpha-methyl-benzeneethanamine,,3-bromoamphetamine
886,3-Bromomethamphetamine,3-Bromomethamphetamine,NPS,Phenethylamines,,,,,,1-(3-bromophenyl)-n-methylpropan-2-amine,,3-bromomethamphetamine
887,3-CAF,3-CAF,NPS,Cannabinoids,Cannabinoid,,,,,naphthalen-2-yl 1-(2-fluorophenyl)-1H-indazole-3-carboxylate,,3-caf
890,3-CEC,3-cec,NPS,,Stimulant,,,,,,,3-cec
892,3-CMC,3-cmc,NPS,,Stimulant,Chloredrone,,,,,,3-cmc
896,3-EMA,3-EMA,NPS,,Stimulant,,,,,3-Ethoxymethamphetamine,,3-ema
897,3-EMC,3-EMC,NPS,,Stimulant,3-ethylmethcathinone,,,,-(3-Ethylphenyl)-2-(methylamino)propan-1-one,,3-emc
902,3-FA,3-fluoroamphetamine,NPS,,Stimulant,,,,,,,3-fa
903,3-FEA,3-fluoroethamphetamine,NPS,,Stimulant,3-FEA,,,,,,3-fea
901,3-FEC,3-FEC,NPS,,,,,,,3-Fluoroethcathinone,,3-fec
908,3-FMA,3-fma,NPS,,Stimulant,,,,,,,3-fma
907,3-FMC,3-fluoromethcathinone,NPS,,Stimulant,,,,,,,3-fmc
913,3-FPM,3f-phenmetrazine,NPS,,Stimulant,,,,,,,3-fpm
914,3-FPP,3-FPP,NPS,Piperazine derivates,,mFPP,,,,1-(3-fluorophenyl)piperazine,,3-fpp
905,3-Fluoro-isomethcathinone,3-Fluoro-isomethcathinone,NPS,,Stimulant,,,,,1-(3-fluorophenyl)-1- (methylamino)-2-propanone,,3-fluoro-isomethcathinone
904,3-Fluorofentanyl,3-Fluorofentanyl,NPS,Opioids,Sedative - opioid,,,,,N-(3-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidyl]propanamide,,3-fluorofentanyl
906,3-Fluoromethcathinone,3-fluoromethcathinone,NPS,,Stimulant,3-FMC,,,,,,3-fluoromethcathinone
915,3-HO-PCE,3-ho-pce,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,3-ho-pce
916,3-HO-PCP,3-HO-PCP,NPS,Arylcyclohexylamines,Hallucinogen/dissociative/psychedelic,,,,,3-[1-(piperidin-1-yl)cyclohexyl]phenol,,3-ho-pcp
917,3-Hydroxyflubromazepam,3-Hydroxyflubromazepam,NPS,Benzodiazepines,Sedative - benzodiazepine,,,,,"7-bromo-5-(2-fluorophenyl)-3-hydroxy-2,3-dihydro-1H-1,4-benzodiazepin-2-one",,3-hydroxyflubromazepam
918,3-Hydroxyphenazepam,3-Hydroxyphenazepam,NPS,Benzodiazepines,Sedative - benzodiazepine,,,,,"7-bromo-5-(2-chlorophenyl)-3-hydroxy-1,3-dihydro-2H-1,4- benzodiazepin-2-one",,3-hydroxyphenazepam
919,3-MAPB,3-MAPB,NPS,,Stimulant,,,,,1-(benzofuran-3-yl)-N-methylpropan-2-amine,,3-mapb
920,3-MEC,3-mec,NPS,,Stimulant,,,,,,,3-mec
934,3-MMC,3-methylmethcathinone,NPS,,Stimulant,,,,,,,3-mmc
936,3-MTA,3-MTA,NPS,,Stimulant,,,,,3-Methylthioamphetamine,,3-mta
923,3-MeO-PCE,3-MeO-PCE,NPS,Arylcyclohexylamines,Hallucinogen/dissociative/psychedelic,3-methoxyeticyclidine,,,,N-ethyl-1-(3-methoxyphenyl)cyclohexan-1-amine,,3-meo-pce
924,3-MeO-PCMMo,3-MeO-PCMMo,NPS,Arylcyclohexylamines,Hallucinogen/dissociative/psychedelic,,,,,4-[[1-(3-methoxyphenyl)cyclohexyl]methyl]morpholine,,3-meo-pcmmo
925,3-MeO-PCMo,3-MeO-PCMo,NPS,Arylcyclohexylamines,Hallucinogen/dissociative/psychedelic,,,,,4-[1-(3-methoxyphenyl)cyclohexyl]morpholine,,3-meo-pcmo
926,3-MeO-PCP,3-MeO-PCP,NPS,Arylcyclohexylamines,Hallucinogen/dissociative/psychedelic,3-Methoxyphencyclidine,,,,1-[1-(3-methoxyphenyl)cyclohexyl] piperidine,,3-meo-pcp
921,3-MeOMA,3-MeOMA,NPS,Phenethylamines,,,,,,[1-(3-methoxyphenyl)propan-2-yl](methyl)amine,,3-meoma
922,3-MeOMC,3-MeOMC,NPS,Cathinones,Stimulant,3-Methoxymethcathinone,,,,1-(3-methoxyphenyl)-2-(methylamino)propane-1-one,,3-meomc
927,3-MePP,3-MePP,NPS,,,mMePP,,,,3-Methylphenylpiperazine,,3-mepp
928,3-MePPP,3-MePPP,NPS,,,,,,,1-(3-Methylphenyl)-2-(pyrrolidin-1-yl)propan-1-one,,3-meppp
929,3-Methoxyamphetamine,3-Methoxyamphetamine,NPS,Phenethylamines,Stimulant,,,,,1-(3-methoxyphenyl)propan-2-amine,,3-methoxyamphetamine
930,3-Methylbutyrylfentanyl,3-Methylbutyrylfentanyl,NPS,Opioids,Sedative - opioid,,,,,"N-[(3R,4S)-3-methyl-1-(2-phenylethyl)piperidin-4-yl]-N-phenylbutanamide",,3-methylbutyrylfentanyl
932,3-Methylflephedrone,3-Methylflephedrone,NPS,Cathinones,Stimulant,,,,,1-(4-Fluorophenyl)-2-(methylamino)propan-1-one,,3-methylflephedrone
935,3-Methylphenmetrazine,3-Methylphenmetrazine,NPS,Others,Stimulant,3‐MPM,,,,3-methyl-2-(3-methylphenyl)morpholine,,3-methylphenmetrazine
937,3-OH-PCP,3-OH-PCP,NPS,,Hallucinogen/dissociative/psychedelic,,,,,1-[1(3-Hydroxyphenyl)-cyclohexyl]piperidine,,3-oh-pcp
882,3-amino-1-phenyl-butane,3-amino-1-phenyl-butane,NPS,,,,,,,3-amino-1-phenyl-butane,,3-amino-1-phenyl-butane
931,3-methylcrotonylfentanyl,3-methylcrotonylfentanyl,NPS,,Sedative - opioid,,,,,3-methylcrotonylfentanyl,,3-methylcrotonylfentanyl
938,3-phenylpropanoylfentanyl,3-phenylpropanoylfentanyl,NPS,,Sedative - opioid,,,,,N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]-3- phenylpropanamide,,3-phenylpropanoylfentanyl
880,30C-NBOMe,30C-NBOMe,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"[2-(4-chloro-2,5-dimethoxyphenyl)ethyl][(3,4,5-trimethoxyphenyl)methyl]amine",,30c-nbome
888,3C-B-fly,3C-B-fly,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"1-(8-Bromo-2,3,6,7-tetrahydrobenzo[2,3-f][1]benzofuran-4-yl)-propan-2-amine",,3c-b-fly
889,3C-E,3c-e,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,3c-e
893,3C-P,3c-p,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,,,3c-p
891,"3Cl-N,N-DMC","3Cl-N,N-DMC",NPS,Cathinones,,,,,,1‐(3‐chlorophenyl)‐2‐(dimethylamino)propan‐1‐one,,"3cl-n,n-dmc"
898,3F-ADB,3F-ADB,NPS,Cannabinoids,Cannabinoid,,,,,"methyl (2S)‐2‐{[1‐(3‐fluoropentyl)‐1H‐indazol‐3‐yl]formamido}‐3,3‐dimethylbutanoate",,3f-adb
900,3F-AMB,3F-AMB,NPS,Cannabinoids,Cannabinoid,,,,,methyl (2S)-2-{[1-(3-fluoropentyl)-1H-indazol-3-yl]formamido}-3-methylbutanoate,,3f-amb
909,3F-MT-45,3F-MT-45,NPS,Opioids,Sedative - opioid,,,,,1‐cyclohexyl‐4‐[1‐(3‐fluorophenyl)‐2‐phenylethyl]piperazine,,3f-mt-45
910,3F-NNEI,3F-NNEI,NPS,synthetic,Stimulant,3F-NNE1,3-fluoro NNEI,,,1-(3-fluoropentyl)-N-(naphthalen-1-yl)-1H-indole-3-carboxamide,,3f-nnei
911,3F-Phenetrazine,3F-phenetrazine,NPS,Others,Stimulant,,,,,3-ethyl-2-(3-fluorophenyl)morpholine,,3f-phenetrazine
912,3F-Phenmetrazine,3f-phenmetrazine,NPS,,Stimulant,,,,,,,3f-phenmetrazine
899,3F-alpha-PVP,3F-alpha-PVP,NPS,,Stimulant,,,,,1-(3-fluorophenyl)-2-(pyrrolidin-1-yl)pentan-1-one,,3f-alpha-pvp
933,3MMC,3-methylmethcathinone,NPS,,Stimulant,,,,,,,3mmc
881,3’-Me-4F-iBF,3’-Me-4F-iBF,NPS,,,,,,,(N-(4-fluorophenyl)-2-methyl-N-{1-[2-(3-methylphenyl)ethyl]piperidin4-yl}propanamide,,3’-me-4f-ibf
943,4 AcO-DeT,4-aco-det,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,4 aco-det
1475,4 CMC,clephedrone,NPS,,Stimulant,,,,,,,4 cmc
1119,4 MEPPP,4-Methylphenylpiperazine,NPS,,,,,,,,,4 meppp
1831,4 MMC,Mephedrone,NPS,,Stimulant,,,,,,,4 mmc
939,"4,4-DMAR","4,4-DMAR",NPS,Others,Stimulant,"4,4'-DMAR",para-Methyl-4-methylaminorex,,,"4,5-Dihydro-4-methyl-5-(4-methylphenyl)-2-oxazolamine",,"4,4-dmar"
940,"4,5-MDAI","4,5-MDAI",NPS,Aminoindanes,Stimulant,,,,,"2H,6H,7H,8H-indeno[4,5-d][1,3]dioxol-7-amine",,"4,5-mdai"
953,4-ANPP,4-ANPP,NPS,,,,,,,Despropionylfentanyl,,4-anpp
954,4-APB,4-APB,NPS,Empathogen,Stimulant,,,,,4-(2-aminopropyl)benzofuran,,4-apb
942,4-AcO-DALT,4-AcO-DALT,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"4-acetoxy-N,N-diallyltryptamine",,4-aco-dalt
944,4-AcO-DET,4-AcO-DET,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,,,,,3-[2-(diethylamino)ethyl]-1H-indol-4-yl acetate,,4-aco-det
945,4-AcO-DIPT,4-AcO-DIPT,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"4-acetoxy-N,N-diisopropyltryptamin",,4-aco-dipt
946,4-AcO-DMT,4-AcO-DMT,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,,,,,"4-acetoxy-N,N-dimethyltryptamine",,4-aco-dmt
947,4-AcO-DPT,4-AcO-DPT,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,,,,,"4-acetoxy-N,N-dipropyltryptamine",,4-aco-dpt
949,4-AcO-MET,4-AcO-MET,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,,,,,4-acetoxy-N-methyl-N-ethyltryptamine,,4-aco-met
950,4-AcO-MiPT,4-AcO-MiPT,NPS,,Hallucinogen/dissociative/psychedelic,,,,,4-Acetoxy-N-isopropyl-N-methyltryptamine,,4-aco-mipt
951,4-Anilino-1-Benzylpiperidine,4-Anilino-1-Benzylpiperidine,NPS,Piperidines & pyrrolidines,,,,,,1-benzyl-N-phenylpiperidin-4-amine,,4-anilino-1-benzylpiperidine
